City_ID,City,Coounty,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
226,berlevag,NO,2021-11-16 05:15:53,70.8578,29.0864,41.0,85,99,13.71
227,kapit,MY,2021-11-16 05:17:17,2.0167,112.9333,86.22,70,100,1.61
228,rio grande,BR,2021-11-16 05:17:18,-32.035,-52.0986,67.95,89,23,14.67
229,saint-philippe,RE,2021-11-16 05:15:19,-21.3585,55.7679,81.95,73,56,9.62
230,port hedland,AU,2021-11-16 05:17:18,-20.3167,118.5667,95.05,31,8,14.97
231,bukachacha,RU,2021-11-16 05:17:18,52.9833,116.9167,29.98,54,38,2.84
232,coihaique,CL,2021-11-16 05:11:59,-45.5752,-72.0662,37.35,75,0,4.61
233,constantine,DZ,2021-11-16 05:14:41,36.365,6.6147,47.14,84,68,5.48
234,pangnirtung,CA,2021-11-16 05:17:18,66.1451,-65.7125,2.53,71,83,5.44
235,margate,GB,2021-11-16 05:16:14,51.3813,1.3862,49.87,80,92,1.01
236,tikrit,IQ,2021-11-16 05:17:19,34.6071,43.6782,67.89,24,100,3.58
237,berthierville,CA,2021-11-16 05:17:19,46.0834,-73.1824,36.14,85,65,7.27
238,arman,RU,2021-11-16 05:17:19,59.7,150.1667,25.02,78,100,12.57
239,wainwright,CA,2021-11-16 05:16:19,52.839,-110.8572,31.91,97,100,17.13
240,sabinas hidalgo,MX,2021-11-16 05:17:20,26.5,-100.1667,67.75,67,0,4.45
241,port alfred,ZA,2021-11-16 05:13:08,-33.5906,26.891,67.14,73,92,17.25
242,surt,LY,2021-11-16 05:17:20,31.2089,16.5887,64.74,41,49,7.81
243,naze,JP,2021-11-16 05:15:53,28.3667,129.4833,70.72,58,15,9.64
244,constitucion,CL,2021-11-16 05:16:07,-35.3333,-72.4167,54.12,49,0,11.16
245,belaya gora,RU,2021-11-16 05:17:20,68.5333,146.4167,3.67,97,100,2.08
246,prince george,CA,2021-11-16 05:17:20,53.9166,-122.753,30.25,89,90,4.0
247,shiraoi,JP,2021-11-16 05:17:21,42.55,141.35,43.21,54,62,15.35
248,new norfolk,AU,2021-11-16 05:15:17,-42.7826,147.0587,59.67,46,97,3.0
249,lucea,JM,2021-11-16 05:17:21,18.451,-78.1736,78.66,80,62,11.14
250,vetlanda,SE,2021-11-16 05:17:21,57.4289,15.0776,39.61,84,100,3.38
251,graneros,CL,2021-11-16 05:16:12,-34.0667,-70.7333,52.47,57,0,4.92
252,laguna,US,2021-11-16 05:17:22,38.421,-121.4238,59.22,93,90,1.01
253,uvat,RU,2021-11-16 05:17:22,59.1433,68.8953,14.56,91,98,9.73
254,vikindu,TZ,2021-11-16 05:17:22,-7.0067,39.2985,80.73,66,59,2.06
255,doha,QA,2021-11-16 05:17:22,25.2867,51.5333,78.78,58,0,5.75
256,rudbar,AF,2021-11-16 05:17:23,30.15,62.6,59.92,35,0,4.56
257,kibungan,PH,2021-11-16 05:17:23,16.695,120.6553,76.53,68,64,1.72
258,nicoya,CR,2021-11-16 05:17:23,10.1483,-85.452,76.55,91,4,1.77
259,stokmarknes,NO,2021-11-16 05:17:23,68.5646,14.9108,44.56,87,75,2.3
260,vanderhoof,CA,2021-11-16 05:17:24,54.0166,-124.0198,23.4,87,45,6.6
261,gat,IL,2021-11-16 05:14:27,31.61,34.7642,66.4,58,1,3.94
262,bilma,NE,2021-11-16 05:17:24,18.6853,12.9164,73.76,20,54,6.69
263,port elizabeth,ZA,2021-11-16 05:13:06,-33.918,25.5701,69.1,70,95,16.46
264,sisimiut,GL,2021-11-16 05:17:24,66.9395,-53.6735,20.88,86,100,7.54
265,taoudenni,ML,2021-11-16 05:17:25,22.6783,-3.9836,68.23,21,99,5.82
266,tuatapere,NZ,2021-11-16 05:16:05,-46.1333,167.6833,51.21,76,100,11.32
267,taseyevo,RU,2021-11-16 05:17:25,57.2169,94.8978,26.11,86,100,11.07
268,ambanja,MG,2021-11-16 05:17:25,-13.6833,48.45,81.57,72,12,1.83
269,lebu,CL,2021-11-16 05:15:47,-37.6167,-73.65,49.75,78,0,20.18
270,jambalo,CO,2021-11-16 05:17:25,2.7923,-76.3226,55.0,98,96,0.34
271,itacare,BR,2021-11-16 05:17:26,-14.2775,-38.9967,69.55,95,98,3.78
272,fairbanks,US,2021-11-16 05:16:16,64.8378,-147.7164,-2.9,80,90,0.0
273,paramonga,PE,2021-11-16 05:17:26,-10.6667,-77.8333,63.32,89,100,7.58
274,airai,TL,2021-11-16 05:15:24,-8.9266,125.4092,74.86,51,67,5.12
275,hobyo,SO,2021-11-16 05:15:49,5.3505,48.5268,80.69,65,85,8.19
276,capitan bado,PY,2021-11-16 05:17:26,-23.2667,-55.5333,68.18,87,85,6.55
277,la asuncion,VE,2021-11-16 05:15:20,11.0333,-63.8628,80.33,89,37,8.05
278,belousovka,KZ,2021-11-16 05:17:27,50.1339,82.5239,27.45,86,90,8.95
279,saint-pierre,RE,2021-11-16 05:17:27,-21.3393,55.4781,82.04,66,0,10.36
280,richards bay,ZA,2021-11-16 05:15:31,-28.783,32.0377,76.08,74,100,6.53
281,deer lake,CA,2021-11-16 05:17:27,49.1667,-57.4316,40.86,93,90,11.5
282,chegem,RU,2021-11-16 05:17:27,43.2833,43.1333,6.93,68,97,4.9
283,iqaluit,CA,2021-11-16 05:17:28,63.7506,-68.5145,-4.27,77,20,13.8
284,chokurdakh,RU,2021-11-16 05:16:11,70.6333,147.9167,9.79,96,100,3.29
285,puerto leguizamo,CO,2021-11-16 05:17:28,-0.1934,-74.7819,72.84,89,47,2.71
286,souillac,MU,2021-11-16 05:15:57,-20.5167,57.5167,81.36,69,75,11.5
287,buluang,PH,2021-11-16 05:17:28,13.3068,123.3425,88.48,60,87,2.86
288,shieli,KZ,2021-11-16 05:17:28,44.1667,66.75,40.73,56,100,6.58
289,narsaq,GL,2021-11-16 05:16:23,60.9167,-46.05,10.62,72,0,8.5
290,bonavista,CA,2021-11-16 05:17:29,48.6499,-53.1147,46.11,91,100,30.31
291,formosa,AR,2021-11-16 05:16:27,-26.1775,-58.1781,78.78,83,0,4.61
292,upata,VE,2021-11-16 05:17:29,8.0086,-62.3989,68.65,98,56,3.31
293,utinga,BR,2021-11-16 05:17:29,-5.8172,-35.3954,81.0,78,40,10.36
294,oriximina,BR,2021-11-16 05:17:30,-1.7656,-55.8661,76.19,87,97,2.86
295,orange,US,2021-11-16 05:17:30,33.7,-117.7675,72.59,65,90,0.0
296,tadine,NC,2021-11-16 05:17:30,-21.55,167.8833,80.87,60,6,9.98
297,parabel,RU,2021-11-16 05:17:30,58.6978,81.4825,13.3,82,100,12.64
298,lakes entrance,AU,2021-11-16 05:17:31,-37.8811,147.981,62.58,60,100,10.6
299,jandaia do sul,BR,2021-11-16 05:17:31,-23.6031,-51.6433,70.63,60,99,9.48
300,agua verde,MX,2021-11-16 05:17:31,22.9,-106.05,79.12,66,98,4.97
